informal;normalized
yaxwi;yaxshi
u4un;uchun
man;men
yo‘qaa;yo‘q
qiziqaa;qiziq
zo‘rraa;zo‘r
w;sh
bo'midi;bo‘lmaydi
hich;hech
yoqmidi;yoqmaydi
yaxshiii;yaxshi
maylimi;mayli-mi
suuuuper;super
zorr;zo‘r
topshiriqniy;topshiriqni
qilganmidi;qilganmi edi
kimdur;kimdir
narsa yo;narsa yo‘q
nechi pul;necha pul
gap yo;gap yo‘q
ozginaa;ozgina
borvoman;boribman
kelvoman;kelibman
qale;qalay
qalesan;qalaysan
xabar;xabar
habar;xabar
xamma;hamma
xo'p;xo‘p
o'rtacha;o‘rtacha
g'isht;g‘isht
o'rtoq;o‘rtoq
g'alaba;g‘alaba
zoor;zo‘r
yomonmi;yomonmi
yomonmidi;yomonmi edi
qimmatmi;qimmatmi
pastroqaa;pastroq
yahshi;yaxshi
yaxschi;yaxshi
zõr;zo‘r
so'radi;so‘radi
ko'rmayman;ko‘rmayman
u/n;uchun
uchn;uchun
qisqacha;qisqacha
qarshila;qarshi-la
yaxshi-ku;yaxshi-ku
yaxshiku;yaxshi-ku
bilmiman;bilmayman
yoqmaydi-ku;yoqmaydi-ku
yoqmidi-ku;yoqmaydi-ku
na'malum;no‘malum
no'malum;no‘malum
narmalniy;normal
klassniy;klassik
qiziqchilik;qiziq
qiziqchaa;qiziqcha
qiziiiq;qiziq
qale-ishlar;qalay ishlar
salomm;salom
rahmattt;rahmat
iltmos;iltimos
iltmosss;iltimos
hmm;hmm
ok;xo‘p
okey;xo‘p
oky;xo‘p
zor;zo‘r
zorrr;zo‘r
yaxsh;yaxshi
yaxshy;yaxshi
bowqa;boshqa
bowqa-joy;boshqa joy
qaysila;qaysi-la
bo'ladi;bo‘ladi
bo'maydi;bo‘lmaydi
bo'mi;bo‘lmaydimi
ketvotti;ketvotti
ketvommiz;ketayapmiz
ketyapmiz;ketayapmiz
qilyapti;qilayapti
qivotti;qilayapti
qivogan;qilgan
qvogan;qilgan
nimadur;nimadir
bilmadimku;bilmadim-ku
keladiyu;keladi-ya
yahshi-ku;yaxshi-ku
yarashadiyu;yarashadi-ya
boruu;bor-u
bordimuu;bordim-u
qilolmayman;qila olmayman
yozvoman;yozibman
ovozvotti;ovoz berayapti
yaxw;yaxshi
nima qlyapsan;nima qilayapsan
qlyapman;qilayapman
qivomman;qilayapman
bormiman;bormayman
yomonmii;yomonmi
yaxshi-k;yaxshi-ku
yaraashadi-ya;yarashadi-ya
bormaymaaan;bormayman
heeech;hech
zo‘‘r;zo‘r
nimmadir;nimadir
klassk;klassik
xabr;xabar
qilayapmna;qilayapman
klasisk;klassik
qilayapit;qilayapti
x‘op;xo‘p
yxshi-ku;yaxshi-ku
niam qilayapsan;nima qilayapsan
qila olmaymaaan;qila olmayman
yoqamydi;yoqmaydi
bilmyman;bilmayman
meen;men
o‘rta4a;o‘rtacha
z‘r;zo‘r
iltimso;iltimos
o‘rtach;o‘rtacha
kelibmman;kelibman
qiiziq;qiziq
klassik;klassik
yaxshii;yaxshi
bor-uu;bor-u
klassiiik;klassik
yoqmayd;yoqmaydi
qizq;qiziq
yoq‘;yo‘q
hehc;hech
niimadir;nimadir
ketayapmiiiz;ketayapmiz
nech apul;necha pul
yaxshii-ku;yaxshi-ku
chun;uchun
ketayapmmiz;ketayapmiz
klassiik;klassik
iqziq;qiziq
ovoz berayatpi;ovoz berayapti
boridm-u;bordim-u
bormaymaan;bormayman
x‘p;xo‘p
z‘or;zo‘r
xop;xo‘p
hmmm;hmm
yoqmaydi-kuu;yoqmaydi-ku
xbar;xabar
qilayapmaan;qilayapman
ymonmi;yomonmi
yxshi;yaxshi
iltmios;iltimos
bordm-u;bordim-u
ektvotti;ketvotti
bo‘lmayd;bo‘lmaydi
cuhun;uchun
yaxshi-kuuu;yaxshi-ku
ucchun;uchun
yaxsh-ku;yaxshi-ku
kelbman;kelibman
so‘radiii;so‘radi
boshq ajoy;boshqa joy
o‘rotq;o‘rtoq
boshq;boshqa
qilganmi ediii;qilganmi edi
yozibbman;yozibman
zo‘‘‘r;zo‘r
br-u;bor-u
so‘ardi;so‘radi
‘ortacha;o‘rtacha
qisqa4a;qisqacha
itlimos;iltimos
xabaaar;xabar
xoo‘p;xo‘p
qalay  ishlar;qalay ishlar
xo‘‘p;xo‘p
qlaysan;qalaysan
topshiriqniii;topshiriqni
qilayampan;qilayapman
narsaa yo‘q;narsa yo‘q
g‘iisht;g‘isht
yo‘‘‘q;yo‘q
yarawadi-ya;yarashadi-ya
topwiriqni;topshiriqni
niamdir;nimadir
hmma;hamma
yoqmydi-ku;yoqmaydi-ku
bilmaymaaan;bilmayman
oyzibman;yozibman
kimdiiir;kimdir
qisqach;qisqacha
xo‘‘‘p;xo‘p
ovoz berayaptii;ovoz berayapti
bilmaayman;bilmayman
narsa yo‘‘q;narsa yo‘q
qiziiq;qiziq
klasssik;klassik
bo‘lmaydii;bo‘lmaydi
yarashadi-yaa;yarashadi-ya
nimadiiir;nimadir
uhcun;uchun
amyli-mi;mayli-mi
b‘lmaydi;bo‘lmaydi
topshiiriqni;topshiriqni
g‘‘isht;g‘isht
bo‘lmaydmii;bo‘lmaydimi
yasxhi-ku;yaxshi-ku
no‘maluuum;no‘malum
hmmmm;hmm
qila olmaymman;qila olmayman
zor‘;zo‘r
yqomaydi-ku;yoqmaydi-ku
qalaysaan;qalaysan
qimmtami;qimmatmi
yozibmaan;yozibman
bormmayman;bormayman
qalaay;qalay
brdim-u;bordim-u
qarshi-laaa;qarshi-la
qarsshi-la;qarshi-la
nmadir;nimadir
qilaaypti;qilayapti
mayli-mii;mayli-mi
bilmmadim-ku;bilmadim-ku
xaabar;xabar
noo‘malum;no‘malum
no‘maalum;no‘malum
qilganmi di;qilganmi edi
qilyaapti;qilayapti
bo‘lmydi;bo‘lmaydi
qimmaatmi;qimmatmi
heech;hech
nimadiir;nimadir
he4;hech
qaysii-la;qaysi-la
bosqha;boshqa
yooqmaydi;yoqmaydi
bilmadim-kuu;bilmadim-ku
qlayapti;qilayapti
bordim-uuu;bordim-u
kor‘mayman;ko‘rmayman
qilayatpi;qilayapti
onrmal;normal
gap yoq‘;gap yo‘q
qilayaptti;qilayapti
bo-ru;bor-u
