id,text,sentiment
1,"Samarqand haqida yangilik o'qidim, hech qanday o'zgarish sezilmadi. 😐",neutral
2,"o'tgan oy o'qituvchi bilan qisqa suhbatlashdim, oddatdagidek. 😶",neutral
3,"😡 😡 kitob sifati kutilganidek emas, juda sust ishlayapti, xafa bo'ldim.",negative
4,"ilova bo'yicha kino mavzusi zo'r chiqibdi, rosa yoqdi 😄",positive
5,qattiq hafsalam pir bo'ldi 😞,negative
6,"Samsung A55 haqida fikrlar turlicha, hozircha hech qanday o'zgarish sezilmadi. ℹ️",neutral
7,"Toshkent haqida yangilik o'qidim, oddiy bo'ldi. 🙄",neutral
8,"YouTubeda kofe haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, oddatdagidek.",neutral
9,"kitob sotib oldim, narxi arzon emas, lekin sifati uchun mamnunman.",positive
10,"o'qib qo'ydim xolos, ko'rdim xolos 😶",neutral
11,"folloverlar umuman tushuntira olmadi, qattiq hafsalam pir bo'ldi =/",negative
12,"ertaga Buxoroda bo'lgan majlis menga umuman yoqmadi, xafa bo'ldim. 😞 😠",negative
13,"majlis juda samarali o'tdi, hamkasbim tushuntirgan mavzu juda foydali bo'ldi, hayratda qoldim. 👍",positive
14,"kelasi oy Buxoroda bo'lgan dars menga umuman yoqmadi, hafsalam pir bo'ldi. 😔",negative
15,"😎 😎 Samarqanddagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, yoqib qoldi.",positive
16,"bugun Samarqandda uchrashuv bo'lib o'tdi, men faqat qatnashdim, shunchaki ma'lumot uchun. ℹ️",neutral
17,"hamkasbim va'da qilgan ishini bajarmadi, natijadan hafsalam pir bo'ldi. 💔",negative
18,"🙄 Telegramda Samsung A55 haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, hech qanday o'zgarish sezilmadi.",neutral
19,"Instagramda Redmi Note 13 haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, oddiy bo'ldi.",neutral
20,"Andijondagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, juda xursand bo'ldim. 😊 😊",positive
21,"noutbuk sifati kutilganidek emas, juda sust ishlayapti, xafa bo'ldim. 😔",negative
22,"📌 o'tgan oy Farg'onada seminar bo'lib o'tdi, men faqat qatnashdim, neytral qarayman.",neutral
23,"Qo'qon haqida yangilik o'qidim, neytral qarayman. 🤔 ℹ️",neutral
24,"o'qib qo'ydim xolos, norm ✍️",neutral
25,"🙄 📌 Instagramda Redmi Note 13 haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, hech qanday o'zgarish sezilmadi.",neutral
26,"Farg'onadagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, mamnunman. 😄 😎",positive
27,"bugungi kommentlar mavzusi zerikarli bo'ldi, bekor ketdi hamma narsasi 🤬",negative
28,😔 🤦‍♀️ :(,negative
29,"✨ iPhone 15 sotib oldim, narxi arzon emas, lekin sifati uchun yoqib qoldi.",positive
30,;) :D,positive
31,"😊 dars juda samarali o'tdi, professor tushuntirgan mavzu juda foydali bo'ldi, yoqib qoldi.",positive
32,"Yangi internet xizmati ishga tushdi, hozircha hammasi yaxshi ishlayapti, zo'r bo'ldi.",positive
33,"🥰 Samsung A55 sotib oldim, narxi arzon emas, lekin sifati uchun kayfiyatim ko'tarildi.",positive
34,"ilova bo'yicha futbol mavzusi zo'r chiqibdi, chiqqan joyi yoqdi 🔥",positive
35,zor 😊,positive
36,"📌 Facebookda planshet haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, oddiy bo'ldi.",neutral
37,"planshet haqida fikrlar turlicha, hozircha oddiy bo'ldi.",neutral
38,"admin nimadir yozibdi, lekin men uchun norm 😶",neutral
39,"bugun professor bilan qisqa suhbatlashdim, hech qanday o'zgarish sezilmadi.",neutral
40,"😶 📌 noutbuk haqida fikrlar turlicha, hozircha hech qanday o'zgarish sezilmadi.",neutral
41,"oyin bo'yicha texnika mavzusi zo'r chiqibdi, rosa yoqdi 😄",positive
42,"kelasi oy Samarqandga bordim, hamma narsa juda xursand bo'ldim. 👍",positive
43,😭 😭,negative
44,"opa juda chiroyli tushuntiribdi, super 🤩",positive
